"TargetGroup","FirstDose","SecondDose","Population","Denominator","Country","ReportingCountry","minAge","maxAge","ageWidth","YearWeekISO"
"Age70_79",2,0,10295909,981649,"Portugal","PT",70,79,10,"2020-W52"
"Age80+",3,0,10295909,675863,"Portugal","PT",80,100,21,"2020-W52"
"Age<18",0,0,10327589,2180508,"Sweden","SE",0,17,18,"2020-W52"
"Age18_24",19,0,10327589,810921,"Sweden","SE",18,24,7,"2020-W52"
"Age25_49",141,0,10327589,3404540,"Sweden","SE",25,49,25,"2020-W52"
"Age50_59",121,0,10327589,1297863,"Sweden","SE",50,59,10,"2020-W52"
"Age60_69",143,0,10327589,1108438,"Sweden","SE",60,69,10,"2020-W52"
"Age70_79",445,0,10327589,989013,"Sweden","SE",70,79,10,"2020-W52"
"Age80+",1602,0,10327589,536306,"Sweden","SE",80,100,21,"2020-W52"
"Age<18",0,0,2095861,371395,"Slovenia","SI",0,17,18,"2020-W52"
"Age18_24",13,0,2095861,141225,"Slovenia","SI",18,24,7,"2020-W52"
"Age25_49",479,0,2095861,711365,"Slovenia","SI",25,49,25,"2020-W52"
"Age50_59",514,0,2095861,303125,"Slovenia","SI",50,59,10,"2020-W52"
"Age60_69",544,0,2095861,278944,"Slovenia","SI",60,69,10,"2020-W52"
"Age70_79",914,0,2095861,175640,"Slovenia","SI",70,79,10,"2020-W52"
"Age80+",3731,0,2095861,114167,"Slovenia","SI",80,100,21,"2020-W52"
"Age0_4",1,0,8901064,NA,"Austria","AT",0,4,5,"2020-W53"
"Age10_14",0,0,8901064,421998,"Austria","AT",10,14,5,"2020-W53"
"Age15_17",5,0,8901064,259561,"Austria","AT",15,17,3,"2020-W53"
"Age18_24",84,0,8901064,696064,"Austria","AT",18,24,7,"2020-W53"
"Age25_49",1269,0,8901064,3006228,"Austria","AT",25,49,25,"2020-W53"
"Age5_9",0,0,8901064,NA,"Austria","AT",5,9,5,"2020-W53"
"Age50_59",1009,0,8901064,1396889,"Austria","AT",50,59,10,"2020-W53"
"Age60_69",587,0,8901064,1016016,"Austria","AT",60,69,10,"2020-W53"
"Age70_79",555,0,8901064,769199,"Austria","AT",70,79,10,"2020-W53"
"Age80+",1670,0,8901064,474047,"Austria","AT",80,100,21,"2020-W53"
"Age<18",0,0,11522440,2320244,"Belgium","BE",0,17,18,"2020-W53"
"Age18_24",20,0,11522440,930629,"Belgium","BE",18,24,7,"2020-W53"
"Age25_49",125,0,11522440,3751281,"Belgium","BE",25,49,25,"2020-W53"
"Age50_59",92,0,11522440,1591660,"Belgium","BE",50,59,10,"2020-W53"
"Age60_69",98,0,11522440,1347513,"Belgium","BE",60,69,10,"2020-W53"
"Age70_79",100,0,11522440,924351,"Belgium","BE",70,79,10,"2020-W53"
"Age80+",479,0,11522440,656762,"Belgium","BE",80,100,21,"2020-W53"
"Age<18",0,0,6951482,1189680,"Bulgaria","BG",0,17,18,"2020-W53"
"Age18_24",42,0,6951482,427191,"Bulgaria","BG",18,24,7,"2020-W53"
"Age25_49",1509,0,6951482,2402352,"Bulgaria","BG",25,49,25,"2020-W53"
"Age50_59",1668,0,6951482,953355,"Bulgaria","BG",50,59,10,"2020-W53"
"Age60_69",1234,0,6951482,938635,"Bulgaria","BG",60,69,10,"2020-W53"
"Age70_79",251,0,6951482,701964,"Bulgaria","BG",70,79,10,"2020-W53"
"Age80+",35,0,6951482,338305,"Bulgaria","BG",80,100,21,"2020-W53"
"Age<18",0,0,888005,170553,"Cyprus","CY",0,17,18,"2020-W53"
"Age18_24",30,0,888005,84850,"Cyprus","CY",18,24,7,"2020-W53"
"Age25_49",861,0,888005,330295,"Cyprus","CY",25,49,25,"2020-W53"
"Age50_59",416,0,888005,107634,"Cyprus","CY",50,59,10,"2020-W53"
"Age60_69",406,0,888005,94714,"Cyprus","CY",60,69,10,"2020-W53"
"Age70_79",309,0,888005,66429,"Cyprus","CY",70,79,10,"2020-W53"
"Age80+",988,0,888005,33530,"Cyprus","CY",80,100,21,"2020-W53"
"Age15_17",2,0,10693939,289263,"Czech Republic","CZ",15,17,3,"2020-W53"
"Age18_24",432,0,10693939,671799,"Czech Republic","CZ",18,24,7,"2020-W53"
"Age25_49",7635,0,10693939,3899741,"Czech Republic","CZ",25,49,25,"2020-W53"
"Age50_59",2934,0,10693939,1339737,"Czech Republic","CZ",50,59,10,"2020-W53"
"Age60_69",1851,0,10693939,1330494,"Czech Republic","CZ",60,69,10,"2020-W53"
"Age70_79",690,0,10693939,1011603,"Czech Republic","CZ",70,79,10,"2020-W53"
"Age80+",754,0,10693939,441100,"Czech Republic","CZ",80,100,21,"2020-W53"
"Age<18",0,0,5822763,1156138,"Denmark","DK",0,17,18,"2020-W53"
"Age18_24",1076,0,5822763,522153,"Denmark","DK",18,24,7,"2020-W53"
"Age25_49",16530,0,5822763,1843666,"Denmark","DK",25,49,25,"2020-W53"
"Age50_59",9558,1,5822763,800444,"Denmark","DK",50,59,10,"2020-W53"
"Age60_69",7481,0,5822763,663646,"Denmark","DK",60,69,10,"2020-W53"
"Age70_79",4107,0,5822763,564390,"Denmark","DK",70,79,10,"2020-W53"
"Age80+",9752,0,5822763,272326,"Denmark","DK",80,100,21,"2020-W53"
"Age<18",0,0,1328976,257044,"Estonia","EE",0,17,18,"2020-W53"
"Age18_24",110,0,1328976,87626,"Estonia","EE",18,24,7,"2020-W53"
"Age25_49",1240,2,1328976,460829,"Estonia","EE",25,49,25,"2020-W53"
"Age50_59",585,1,1328976,171453,"Estonia","EE",50,59,10,"2020-W53"
"Age60_69",469,0,1328976,163237,"Estonia","EE",60,69,10,"2020-W53"
"Age70_79",102,0,1328976,111342,"Estonia","EE",70,79,10,"2020-W53"
"Age80+",16,0,1328976,77445,"Estonia","EE",80,100,21,"2020-W53"
"Age<18",0,0,10718565,1854378,"Greece","EL",0,17,18,"2020-W53"
"Age18_24",6,0,10718565,782452,"Greece","EL",18,24,7,"2020-W53"
"Age25_49",2046,0,10718565,3497414,"Greece","EL",25,49,25,"2020-W53"
"Age50_59",1308,0,10718565,1515472,"Greece","EL",50,59,10,"2020-W53"
"Age60_69",492,0,10718565,1291651,"Greece","EL",60,69,10,"2020-W53"
"Age70_79",13,0,10718565,1003958,"Greece","EL",70,79,10,"2020-W53"
"Age80+",2,0,10718565,773240,"Greece","EL",80,100,21,"2020-W53"
"Age0_4",1,0,47332614,NA,"Spain","ES",0,4,5,"2020-W53"
"Age10_14",1,0,47332614,2535060,"Spain","ES",10,14,5,"2020-W53"
"Age15_17",10,0,47332614,1448603,"Spain","ES",15,17,3,"2020-W53"
"Age18_24",1883,0,47332614,3303575,"Spain","ES",18,24,7,"2020-W53"
"Age25_49",24421,0,47332614,16481919,"Spain","ES",25,49,25,"2020-W53"
"Age5_9",0,0,47332614,NA,"Spain","ES",5,9,5,"2020-W53"
"Age50_59",14765,0,47332614,7035203,"Spain","ES",50,59,10,"2020-W53"
"Age60_69",9137,0,47332614,5350604,"Spain","ES",60,69,10,"2020-W53"
"Age70_79",8646,0,47332614,3984504,"Spain","ES",70,79,10,"2020-W53"
"Age80+",37506,0,47332614,2851053,"Spain","ES",80,100,21,"2020-W53"
"Age0_4",0,0,5525292,NA,"Finland","FI",0,4,5,"2020-W53"
"Age10_14",0,0,5525292,308825,"Finland","FI",10,14,5,"2020-W53"
"Age15_17",1,0,5525292,178021,"Finland","FI",15,17,3,"2020-W53"
"Age18_24",194,0,5525292,432594,"Finland","FI",18,24,7,"2020-W53"
"Age25_49",3719,0,5525292,1728083,"Finland","FI",25,49,25,"2020-W53"
"Age5_9",0,0,5525292,NA,"Finland","FI",5,9,5,"2020-W53"
"Age50_59",1333,0,5525292,724665,"Finland","FI",50,59,10,"2020-W53"
"Age60_69",530,0,5525292,716579,"Finland","FI",60,69,10,"2020-W53"
"Age70_79",49,0,5525292,561908,"Finland","FI",70,79,10,"2020-W53"
"Age80+",40,0,5525292,312406,"Finland","FI",80,100,21,"2020-W53"
"Age<18",16,0,67320216,14540168,"France","FR",0,17,18,"2020-W53"
"Age18_24",51,0,67320216,5444270,"France","FR",18,24,7,"2020-W53"
"Age25_49",624,0,67320216,20684932,"France","FR",25,49,25,"2020-W53"
"Age50_59",446,0,67320216,8805539,"France","FR",50,59,10,"2020-W53"
"Age60_69",611,0,67320216,8007585,"France","FR",60,69,10,"2020-W53"
"Age70_79",481,0,67320216,5692912,"France","FR",70,79,10,"2020-W53"
"Age80+",441,0,67320216,4144810,"France","FR",80,100,21,"2020-W53"
"Age0_4",0,0,4058165,NA,"Croatia","HR",0,4,5,"2020-W53"
"Age10_14",0,0,4058165,202389,"Croatia","HR",10,14,5,"2020-W53"
"Age15_17",0,0,4058165,115854,"Croatia","HR",15,17,3,"2020-W53"
"Age18_24",151,0,4058165,321108,"Croatia","HR",18,24,7,"2020-W53"
"Age25_49",3047,1,4058165,1319478,"Croatia","HR",25,49,25,"2020-W53"
"Age5_9",0,0,4058165,NA,"Croatia","HR",5,9,5,"2020-W53"
"Age50_59",1917,0,4058165,570899,"Croatia","HR",50,59,10,"2020-W53"
"Age60_69",1345,0,4058165,562891,"Croatia","HR",60,69,10,"2020-W53"
"Age70_79",1778,0,4058165,364156,"Croatia","HR",70,79,10,"2020-W53"
"Age80+",4424,0,4058165,222308,"Croatia","HR",80,100,21,"2020-W53"
"Age<18",0,0,9769526,1709048,"Hungary","HU",0,17,18,"2020-W53"
"Age18_24",286,0,9769526,741094,"Hungary","HU",18,24,7,"2020-W53"
"Age25_49",6423,0,9769526,3490565,"Hungary","HU",25,49,25,"2020-W53"
"Age50_59",3020,0,9769526,1235206,"Hungary","HU",50,59,10,"2020-W53"
"Age60_69",1565,0,9769526,1295058,"Hungary","HU",60,69,10,"2020-W53"
"Age70_79",503,0,9769526,859765,"Hungary","HU",70,79,10,"2020-W53"
"Age80+",76,0,9769526,438790,"Hungary","HU",80,100,21,"2020-W53"
"Age10_14",1,1,4964440,348422,"Ireland","IE",10,14,5,"2020-W53"
"Age15_17",4,0,4964440,195570,"Ireland","IE",15,17,3,"2020-W53"
"Age18_24",205,14,4964440,433572,"Ireland","IE",18,24,7,"2020-W53"
"Age25_49",2742,45,4964440,1749671,"Ireland","IE",25,49,25,"2020-W53"
"Age50_59",777,14,4964440,606007,"Ireland","IE",50,59,10,"2020-W53"
"Age60_69",272,6,4964440,480682,"Ireland","IE",60,69,10,"2020-W53"
"Age70_79",34,9,4964440,322167,"Ireland","IE",70,79,10,"2020-W53"
