CODGEO;LIBGEO;MED14
02257;Dallon;24072,0
02258;Dammard;20121,7
02259;Dampleux;22682,0
02260;Danizy;17719,8
02261;Dercy;19589,3
02262;Deuillet;20121,4
02263;Dhuizel;17981,0
02264;Dizy-le-Gros;16759,5
02265;Dohis;17583,2
02266;Dolignon;
02267;Dommiers;19856,8
02268;Domptin;20996,7
02269;Dorengt;20245,0
02270;Douchy;17944,4
02271;Dravegny;19955,7
02272;Droizy;
02273;Dury;19474,0
02274;Ébouleau;17821,4
02275;Effry;14379,0
02276;Englancourt;20353,3
02277;Épagny;18048,0
02278;Éparcy;
02279;Épaux-Bézu;21674,5
02280;Épieds;21959,5
02281;L'Épine-aux-Bois;20934,0
02282;Eppes;19751,3
02283;Erlon;17067,0
02284;Erloy;20528,7
02286;Esquéhéries;18197,8
02287;Essigny-le-Grand;23158,0
02288;Essigny-le-Petit;18358,0
02289;Essises;20879,0
02290;Essômes-sur-Marne;21187,2
02291;Estrées;19111,7
02292;Étampes-sur-Marne;20239,6
02293;Étaves-et-Bocquiaux;19103,3
02294;Étouvelles;21670,0
02295;Étréaupont;15982,9
02296;Étreillers;20524,3
02297;Étrépilly;21211,5
02298;Étreux;17600,7
02299;Évergnicourt;19938,0
02301;Faucoucourt;19681,1
02302;Faverolles;20764,2
02303;Fayet;29120,0
02304;La Fère;14047,6
02305;Fère-en-Tardenois;16787,4
02306;La Ferté-Chevresis;19054,7
02307;La Ferté-Milon;20099,4
02308;Fesmy-le-Sart;17049,0
02309;Festieux;18563,3
02310;Fieulaine;20122,0
02311;Filain;18691,3
02312;La Flamengrie;17887,5
02313;Flavigny-le-Grand-et-Beaurain;17509,2
02315;Flavy-le-Martel;18374,7
02316;Fleury;24210,4
02317;Fluquières;22535,3
02318;Folembray;17685,1
02319;Fonsomme;18267,4
02320;Fontaine-lès-Clercs;21608,0
02321;Fontaine-lès-Vervins;20315,0
02322;Fontaine-Notre-Dame;21340,7
02323;Fontaine-Uterte;20792,6
02324;Fontenelle;16733,6
02325;Fontenelle-en-Brie;21375,4
02326;Fontenoy;20918,0
02327;Foreste;16905,0
02328;Fossoy;22885,5
02329;Fourdrain;22219,2
02330;Francilly-Selency;24027,0
02331;Franqueville;18380,0
02332;Fresnes-en-Tardenois;19286,2
02333;Fresnes;18461,0
02334;Fresnoy-le-Grand;16712,0
02335;Fressancourt;19310,0
02336;Frières-Faillouël;20299,4
02337;Froidestrées;18744,5
02338;Froidmont-Cohartille;18561,5
02339;Gandelu;20864,8
02340;Gauchy;18615,3
02341;Gercy;20031,3
02342;Gergny;18961,3
02343;Germaine;
02344;Gernicourt;
02345;Gibercourt;
02346;Gizy;19965,0
02347;Gland;23070,0
02348;Glennes;19714,7
02349;Goudelancourt-lès-Berrieux;
