"","x"
"475","Magasin_materiel_medicalorthopedique"
"476","Parfumerie.Cosmetique"
"477","Magasin_revetements_murssols"
"478","Magasin_articles_sportsde_loisirs"
"479","Magasin_electromenagerde_materiel_audio.video"
"480","Magasin_equipementsfoyer"
"481","Boungerie"
"482","Grande_surface_bricoge"
"483","ecole_elementaire_RPI_disperse_ecole_pre.elementaire"
"484","ecole_elementaire_RPI_disperse_cantine"
"485","ecole_elementaire_csse_pre.elementaire"
"486","ecole_elementaire_cantine"
"487","ecole_elementaire_csse_pre.elementaire_prive"
"488","ecole_elementaire_cantine_prive"
"489","ecole_elementaire_RPI_disperse_ecole_pre.elementaire_public"
"490","ecole_elementaire_RPI_disperse_cantine_public"
"491","ecole_elementaire_csse_pre.elementaire_public"
"492","ecole_elementaire_cantine_public"
"493","SEP_section_enseignement_professionnel_internat"
"494","SEP_section_enseignement_professionnel_cantine"
"495","SGT_Section_enseignement_generaltechnologique_internat"
"496","SGT_Section_enseignement_generaltechnologique_cantine"
"497","SGT_Section_enseignement_generaltechnologique"
"498","Lycee_techniqueet_professionnel_agricole_internat"
"499","Lycee_techniqueet_professionnel_agricole_prepa_grandes_ecoles"
"500","Lycee_techniqueet_professionnel_agricole"
"501","Lycee_enseignement_professionnel_internat"
"502","Lycee_enseignement_professionnel_cantine"
"503","Lycee_enseignement_general_technologique_internat"
"504","Lycee_enseignement_general_technologique_appartenant_un_EP"
"505","Lycee_enseignement_general_technologique_prepa_grandes_ecoles"
"506","Lycee_enseignement_general_technologique_cantine"
"507","Lycee_enseignement_general_technologique"
"508","SEP_section_enseignement_professionnel_internat2"
"509","SEP_section_enseignement_professionnel_cantine_prive"
"510","SGT_Section_enseignement_generaltechnologique_internat_prive"
"511","SGT_Section_enseignement_generaltechnologique_cantine_prive"
"512","SGT_Section_enseignement_generaltechnologique_prive"
"513","Lycee_techniqueet_professionnel_agricole_internat_prive"
"514","Lycee_techniqueet_professionnel_agricole_prive"
"515","Lycee_enseignement_professionnel_internat_prive"
"516","Lycee_enseignement_professionnel_cantine_prive"
"517","Lycee_enseignement_general_technologique_internat_prive"
"518","Lycee_enseignement_general_technologique_prepa_grandes_ecoles_prive"
"519","Lycee_enseignement_general_technologique_cantine_prive"
"520","Lycee_enseignement_general_technologique_prive"
"521","SEP_section_enseignement_professionnel_internat_public"
"522","SEP_section_enseignement_professionnel_cantine_public"
"523","SGT_Section_enseignement_generaltechnologique_internat_public"
"524","SGT_Section_enseignement_generaltechnologique_cantine_public"
"525","SGT_Section_enseignement_generaltechnologique_public"
"526","Lycee_techniqueet_professionnel_agricole_internat_public"
"527","Lycee_techniqueet_professionnel_agricole_prepa_grandes_ecoles_public"
"528","Lycee_techniqueet_professionnel_agricole_public"
"529","Lycee_enseignement_professionnel_internat_public"
"530","Lycee_enseignement_professionnel_cantine_public"
"531","Lycee_enseignement_general_technologique_internat_public"
"532","Lycee_enseignement_general_technologique_EP_public"
"533","Lycee_enseignement_general_technologique_prepa_grandes_ecoles_public"
"534","Lycee_enseignement_general_technologique_cantine_public"
"535","Lycee_enseignement_general_technologique_public"
"536","Centre_dispensantformations_apprentissage_agricole_internat"
"537","Centre_dispensantformations_apprentissage_agricole"
"538","Formation_aux_metierssport"
"539","Centre_dispensant_formation_continue_agricole"
"540","Ecole_enseignement_superieur_agricole_internat"
"541","Unite_Formationde_Recherche"
"542","Section_Tech_Superieur_Csse_Prepa_Grandes_Ecoles"
"543","Centre_dispensantformations_apprentissage_agricole_internat_prive"
"544","Centre_dispensantformations_apprentissage_agricole_prive"
"545","Formation_aux_metierssport_prive"
"546","Centre_dispensant_formation_continue_agricole_prive"
"547","Section_Tech_Superieur_Csse_Prepa_aux_Grandes_Ecoles_prive"
"548","Centre_dispensantformations_apprentissage_agricole_internat_public"
"549","Centre_dispensantformations_apprentissage_agricole_public"
"550","Formation_aux_metierssport_public"
"551","Centre_dispensant_formation_continue_agricole_public"
"552","Ecole_enseignement_superieur_agricole_internat_public"
"553","Unite_Formationde_Recherche_public"
"554","Spe_radiodiagnosticimagerie_medicale"
"555","Spe_gastro.enterologie_hepatologie"
"556","Spe_dermatologie_venereologie"
"557","Medecin_generaliste"
"558","Conseil_departemental_acces_droit"
"559","Restaurant.Restauration_rapide"
"560","Entreprise_generalebatiment"
