dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
13;80;2021-07-08;96787;89282;128303.0;75.4;69.6
14;04;2021-07-08;16;2;32713.0;0.0;0.0
14;09;2021-07-08;9;4;39456.0;0.0;0.0
14;11;2021-07-08;32;3;16901.0;0.2;0.0
14;17;2021-07-08;11694;925;52063.0;22.5;1.8
14;24;2021-07-08;31287;12081;60987.0;51.3;19.8
14;29;2021-07-08;18844;8422;34960.0;53.9;24.1
14;39;2021-07-08;43715;22053;78671.0;55.6;28.0
14;49;2021-07-08;56434;32613;84964.0;66.4;38.4
14;59;2021-07-08;69587;52489;89285.0;77.9;58.8
14;64;2021-07-08;38083;32273;45437.0;83.8;71.0
14;69;2021-07-08;40186;35333;45564.0;88.2;77.5
14;74;2021-07-08;39524;36802;39971.0;98.9;92.1
14;79;2021-07-08;23441;22270;23384.0;99.0;95.2
14;80;2021-07-08;39778;37344;47097.0;84.5;79.3
15;04;2021-07-08;4;2;5285.0;0.1;0.0
15;09;2021-07-08;3;1;6563.0;0.0;0.0
15;11;2021-07-08;7;1;2969.0;0.2;0.0
15;17;2021-07-08;1724;126;9080.0;19.0;1.4
15;24;2021-07-08;4211;2089;8091.0;52.0;25.8
15;29;2021-07-08;2513;1418;5406.0;46.5;26.2
15;39;2021-07-08;7029;4339;14131.0;49.7;30.7
15;49;2021-07-08;10467;7058;17202.0;60.8;41.0
15;59;2021-07-08;14732;11700;21195.0;69.5;55.2
15;64;2021-07-08;8811;7589;11135.0;79.1;68.2
15;69;2021-07-08;9541;8495;11435.0;83.4;74.3
15;74;2021-07-08;9528;8823;10127.0;94.1;87.1
15;79;2021-07-08;5869;5546;6453.0;90.9;85.9
15;80;2021-07-08;11050;10252;13739.0;80.4;74.6
16;04;2021-07-08;8;1;15081.0;0.1;0.0
16;09;2021-07-08;9;0;18130.0;0.0;0.0
16;11;2021-07-08;16;2;7841.0;0.2;0.0
