dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
87;0;2021-10-28;296285;291185;20139;370774.0;79.9;78.5;5.4
88;0;2021-10-28;291766;285826;18848;359520.0;81.2;79.5;5.2
89;0;2021-10-28;252298;247113;17225;332096.0;76.0;74.4;5.2
90;0;2021-10-28;102698;101171;6403;140145.0;73.3;72.2;4.6
91;0;2021-10-28;875793;855619;44437;1319401.0;66.4;64.8;3.4
92;0;2021-10-28;1173878;1145101;66271;1613762.0;72.7;71.0;4.1
93;0;2021-10-28;1346017;1250275;33576;1670149.0;80.6;74.9;2.0
94;0;2021-10-28;1072155;1045502;48573;1406041.0;76.3;74.4;3.5
95;0;2021-10-28;931237;895214;38213;1248354.0;74.6;71.7;3.1
971;0;2021-10-28;130982;119699;3675;376879.0;34.8;31.8;1.0
972;0;2021-10-28;130509;118864;4106;358749.0;36.4;33.1;1.1
973;0;2021-10-28;84146;72592;1158;290691.0;28.9;25.0;0.4
974;0;2021-10-28;510718;486133;10131;859959.0;59.4;56.5;1.2
976;0;2021-10-28;146886;112512;309;279471.0;52.6;40.3;0.1
977;0;2021-10-28;6816;6420;168;9961.0;68.4;64.5;1.7
978;0;2021-10-28;13025;11711;246;35334.0;36.9;33.1;0.7
