LocID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
1107,France (and dependencies),2,Medium,2020,2020.5,85,85,1,119.634,196.618,316.252
1107,France (and dependencies),2,Medium,2020,2020.5,86,86,1,109.249,188.491,297.74
1107,France (and dependencies),2,Medium,2020,2020.5,87,87,1,98.056,177.576,275.632
1107,France (and dependencies),2,Medium,2020,2020.5,88,88,1,85.607,162.627,248.234
1107,France (and dependencies),2,Medium,2020,2020.5,89,89,1,72.598,145.113,217.711
1107,France (and dependencies),2,Medium,2020,2020.5,90,90,1,58.579,126.264,184.843
1107,France (and dependencies),2,Medium,2020,2020.5,91,91,1,47.398,111.547,158.945
1107,France (and dependencies),2,Medium,2020,2020.5,92,92,1,40.311,99.011,139.322
1107,France (and dependencies),2,Medium,2020,2020.5,93,93,1,31.307,81.735,113.042
1107,France (and dependencies),2,Medium,2020,2020.5,94,94,1,20.394,59.722,80.116
1107,France (and dependencies),2,Medium,2020,2020.5,95,95,1,13.964,46.207,60.171
1107,France (and dependencies),2,Medium,2020,2020.5,96,96,1,12.046,41.403,53.449
1107,France (and dependencies),2,Medium,2020,2020.5,97,97,1,9.594,34.243,43.837
1107,France (and dependencies),2,Medium,2020,2020.5,98,98,1,6.613,24.732,31.345
1107,France (and dependencies),2,Medium,2020,2020.5,99,99,1,3.101,12.864,15.965
1107,France (and dependencies),2,Medium,2020,2020.5,100,100,-1,3.14,17.033,20.173
