reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
93;29;2022-02-10;218896;212810;114378;255710.0;85.6;83.2;44.7
93;39;2022-02-10;495588;483582;277461;599102.0;82.7;80.7;46.3
93;49;2022-02-10;553060;544074;367299;631386.0;87.6;86.2;58.2
93;59;2022-02-10;623802;616170;480463;678493.0;91.9;90.8;70.8
93;09;2022-02-10;3932;2355;22;287789.0;1.4;0.8;0.0
93;64;2022-02-10;293648;290738;243587;320248.0;91.7;90.8;76.1
93;69;2022-02-10;280171;277733;242995;312538.0;89.6;88.9;77.7
93;74;2022-02-10;281513;279121;249502;294561.0;95.6;94.8;84.7
93;79;2022-02-10;204759;202858;181114;214958.0;95.3;94.4;84.3
93;80;2022-02-10;316040;309590;259598;365644.0;86.4;84.7;71.0
94;04;2022-02-10;8;4;1;15663.0;0.1;0.0;0.0
94;11;2022-02-10;212;146;14;7566.0;2.8;1.9;0.2
94;17;2022-02-10;12345;11783;1662;20507.0;60.2;57.5;8.1
94;24;2022-02-10;17313;16777;8875;22692.0;76.3;73.9;39.1
94;29;2022-02-10;12260;11891;6291;17407.0;70.4;68.3;36.1
94;39;2022-02-10;30215;29459;17132;43624.0;69.3;67.5;39.3
94;49;2022-02-10;35030;34468;23942;45205.0;77.5;76.2;53.0
94;59;2022-02-10;40998;40520;32025;47970.0;85.5;84.5;66.8
94;09;2022-02-10;124;62;0;18081.0;0.7;0.3;0.0
94;64;2022-02-10;19442;19231;16369;22461.0;86.6;85.6;72.9
94;69;2022-02-10;18700;18529;16329;22634.0;82.6;81.9;72.1
94;74;2022-02-10;17370;17211;15415;20580.0;84.4;83.6;74.9
94;79;2022-02-10;12319;12222;10978;16105.0;76.5;75.9;68.2
94;80;2022-02-10;18843;18470;15685;24184.0;77.9;76.4;64.9
01;0;2022-02-10;146033;138922;68520;376879.0;38.7;36.9;18.2
02;0;2022-02-10;146316;139984;73400;358749.0;40.8;39.0;20.5
03;0;2022-02-10;95451;85374;34084;290691.0;32.8;29.4;11.7
04;0;2022-02-10;568504;550447;304936;859959.0;66.1;64.0;35.5
06;0;2022-02-10;158451;134858;28738;279471.0;56.7;48.3;10.3
07;0;2022-02-10;8556;8222;5065;9961.0;85.9;82.5;50.8
08;0;2022-02-10;13923;12968;5314;35334.0;39.4;36.7;15.0
11;0;2022-02-10;9337663;9196091;6219156;12278210.0;76.1;74.9;50.7
24;0;2022-02-10;2066747;2036411;1539189;2559073.0;80.8;79.6;60.1
27;0;2022-02-10;2182969;2152378;1586041;2783039.0;78.4;77.3;57.0
28;0;2022-02-10;2721522;2682674;2029218;3303500.0;82.4;81.2;61.4
32;0;2022-02-10;4722646;4651156;3430398;5962662.0;79.2;78.0;57.5
44;0;2022-02-10;4305632;4242443;3142558;5511747.0;78.1;77.0;57.0
52;0;2022-02-10;3136910;3095795;2293348;3801797.0;82.5;81.4;60.3
53;0;2022-02-10;2816204;2776411;2107322;3340379.0;84.3;83.1;63.1
75;0;2022-02-10;4924481;4852284;3637079;5999982.0;82.1;80.9;60.6
76;0;2022-02-10;4613891;4539479;3271000;5924858.0;77.9;76.6;55.2
84;0;2022-02-10;6232283;6151440;4341251;8032377.0;77.6;76.6;54.0
93;0;2022-02-10;3836536;3762656;2618447;5055651.0;75.9;74.4;51.8
94;0;2022-02-10;235179;230773;164718;344679.0;68.2;67.0;47.8
